seed,avg_sicurezza,avg_biglietteria,avg_controlli,avg_mario_std,avg_mario_exp,avg_hp_std,avg_hp_exp
1100987654,554.0749,1383.0037,285.9132,6482.8966,52.9127,2706.4780,299.8201
1268069707,598.1919,1403.6520,278.6384,6624.1261,67.1804,2922.3486,630.3479
386119142,568.2834,1337.0501,272.6793,6578.6946,76.5347,2939.0394,331.2661
2082985840,569.8145,1495.5427,372.3881,7295.9125,110.5196,2652.3626,77.1894
642713966,577.8065,1415.4477,284.0370,6748.3269,134.5455,2852.3118,172.9840
947248254,576.0725,1350.6900,261.0624,7042.1057,79.5931,2639.7367,127.8994
657026468,586.6709,1245.8586,310.8402,6930.0616,96.8090,2721.6264,120.5883
176960067,552.1132,1496.8770,273.1605,6621.5596,75.7550,2667.5942,72.9976
846351187,603.8737,1321.1349,295.6863,6750.1639,134.8920,2833.5167,243.9171
501369057,620.3945,1347.9074,257.5326,6552.5378,96.2644,2680.6328,244.5869
1546967157,602.4158,1462.5825,276.7560,7135.0767,254.9237,2532.5253,136.9325
2145992660,653.7818,1243.9494,294.3763,6867.8523,150.1864,2618.1090,263.1333
623551769,637.1486,1287.5188,367.8294,6392.9886,61.2760,2879.6626,143.0397
298625667,607.6246,1441.6680,259.8426,6711.1651,65.9369,2711.3858,132.5571
579844133,636.0744,1335.6828,367.2094,6908.5653,78.6666,2738.2374,66.2661
2099160941,564.3061,1310.6551,221.3833,6561.1151,59.0680,2932.9666,156.8100
2053678150,598.6360,1306.0568,270.9101,7068.7268,67.5858,2912.7542,120.2435
760284669,497.2257,1439.5908,291.2601,6795.6501,78.6664,2875.3259,277.9155
738583108,642.4370,1332.9987,255.1637,6894.1959,70.7530,2580.3139,241.6284
170039868,587.3119,1403.2479,252.6871,6598.1738,44.8492,2691.5036,185.0082
601827012,610.8600,1289.8838,258.4536,6619.8927,103.2836,3055.0067,234.9122
1672902734,599.8122,1438.3578,260.2937,6773.0696,123.0138,2813.6657,178.5836
1665534369,572.7553,1242.0530,284.9876,6474.2541,88.7780,2481.1645,137.0035
1394724875,565.5455,1164.2572,283.2285,6466.9472,54.6280,2993.5402,100.5148
851434343,642.8056,1255.2397,318.9801,6765.9373,140.4620,2877.3518,139.3800
49213801,582.6533,1128.8866,322.3897,6707.5461,82.5119,2606.8046,137.3909
